Postal Code,VIN,Stock Num,MSRP,Year,Make,Model,Ext. Warranty Miles,Lender,Purchase Date,Sales Type,Purchase Type,Sale Price
62520,1D7HE22K25S205657,19363A,"$8,968.00 ",2005,DODGE TRUCK,DAKOTA,0,JP MORGAN CHASE BANK NA,10/13/2008 0:00,Used Vehicle,Finance,"$8,968.00 "
62629,1D4HN11H48B190516,19618,"$20,245.00 ",2008,DODGE TRUCK,GRAND CARAVAN,0,CEFCU,12/29/2008 0:00,New Vehicle,Finance,"$20,245.00 "
62684,1B3CB3HA8AD566621,21193,"$18,729.00 ",2010,DODGE,CALIBER,0,JP MORGAN CHASE BANK NA,7/19/2010 0:00,New Vehicle,Finance,"$18,729.00 "
62702,2B3CJ4DG6BH605102,22569,"$30,205.00 ",2011,DODGE,CHALLENGER,75000,TD AUTO FINANCE LLC,9/29/2011 0:00,New Vehicle,Finance,"$30,205.00 "
62563,1C6RD7MT1CS218876,23328,"$41,448.00 ",2012,DODGE TRUCK,RAM 1500,0,CONVERSION - DO NOT USE,4/25/2012 0:00,New Vehicle,Finance,"$41,448.00 "
62612,2C4RDGCG6DR807132,24565,"$28,775.00 ",2013,DODGE TRUCK,GRAND CARAVAN,0,CONVERSION - DO NOT USE,7/27/2013 0:00,New Vehicle,Cash,"$28,775.00 "
0,JN8AS58T19W052357,88394,"$10,995.00 ",2009,NISSAN TRUCK,ROGUE,0,HEARTLAND CREDIT UNION,8/14/2015 0:00,Used Vehicle,Finance,"$10,995.00 "
62533,3GYFNHE31DS615954,88386A,"$32,577.00 ",2013,CADILLAC,SRX,0,PNC BANK NA,10/10/2015 0:00,Used Vehicle,Finance,"$32,577.00 "
62056,KNDMC5C16F6030717,K28630,"$31,481.00 ",2015,KIA,SEDONA,0,US BANK NA,4/20/2015 0:00,New Vehicle,Finance,"$31,481.00 "
62711,4S4BP61C957343156,43135A,"$13,300.00 ",2005,SUBARU,OUTBACK WAGON,0,CONVERSION - DO NOT USE,6/3/2010 0:00,Used Vehicle,Cash,"$13,300.00 "
62530,2D4GP44L57R119042,88354A,"$6,223.00 ",2007,DODGE,GRAND CARAVAN (3.8L),0,CHRYSLER CAPITAL,7/3/2015 0:00,Used Vehicle,Finance,"$6,223.00 "
62704,1C4RDJAG2FC156240,27567,"$33,090.00 ",2015,DODGE TRUCK,DURANGO,0,CEFCU,12/30/2015 0:00,New Vehicle,Finance,"$33,090.00 "
62702,3D7JB1EP8BG537570,22236,"$26,428.00 ",2011,DODGE TRUCK,RAM 1500,0,FIFTH THIRD BANK,2/15/2011 0:00,New Vehicle,Finance,"$26,428.00 "
62618,2C3CDXBG4EH268075,26740A,"$18,822.00 ",2014,DODGE,CHARGER,0,CEFCU,10/26/2015 0:00,Used Vehicle,Finance,"$18,822.00 "
62075,3D7JV1EP1AG119079,44932A,"$20,419.00 ",2010,DODGE TRUCK,RAM 1500,0,HEARTLAND CREDIT UNION,10/21/2015 0:00,Used Vehicle,Finance,"$20,419.00 "
62016,4S4BSBAC3G3231356,44946,"$24,500.00 ",2016,SUBARU,OUTBACK WAGON,0,CONVERSION - DO NOT USE,9/22/2015 0:00,New Vehicle,Cash,"$24,500.00 "
62707,JF2SHADC0CH435992,43823,"$26,830.00 ",2012,SUBARU,FORESTER,0,CONVERSION - DO NOT USE,3/5/2012 0:00,New Vehicle,Cash,"$26,830.00 "
62545,3C6TR5DT2DG612343,26711A,"$33,200.00 ",2013,RAM,RAM 2500,0,CONVERSION - DO NOT USE,7/30/2015 0:00,New Vehicle,Finance,"$33,200.00 "
62650,1G8AJ52F73Z191846,K28664A,"$2,000.00 ",2003,SATURN,ION,0,CONVERSION - DO NOT USE,4/25/2015 0:00,Used Vehicle,Cash,"$2,000.00 "
