,MSRP,Year,Make,Model,Purchase Date,Sales Type,Purchase Type,Sale Price,Warranty Miles,Zipcode,Model Type
15265,"$37,035.00 ",2020,SUBARU,FORESTER,10/17/2019 0:00,New Vehicle,Finance,"$34,169.00 ",1,62681,COMPACT SUV
15266,"$33,204.00 ",2020,SUBARU,FORESTER,10/17/2019 0:00,New Vehicle,Cash,"$30,434.00 ",1,62704,COMPACT SUV
15267,"$21,990.00 ",2016,RAM,PROMASTER CARGO VAN,10/17/2019 0:00,Used Vehicle,Finance,"$18,895.00 ",0,62363,CARGO VAN
15268,"$12,990.00 ",2013,OTHER,ELANTRA,10/17/2019 0:00,Used Vehicle,Finance,"$7,800.00 ",1,62540,COMPACT SEDAN
15269,"$13,995.00 ",2012,OTHER,BEETLE,10/18/2019 0:00,Used Vehicle,Finance,"$12,800.00 ",0,62650,COMPACT SEDAN
15270,"$34,899.00 ",2020,SUBARU,FORESTER,10/18/2019 0:00,New Vehicle,Finance,"$32,764.00 ",1,62711,COMPACT SUV
15271,"$8,990.00 ",2012,DODGE,AVENGER,10/18/2019 0:00,Used Vehicle,Cash,"$4,536.84 ",0,62704,MID-SIZE SEDAN
15272,"$3,300.00 ",2011,OTHER,SONATA,10/19/2019 0:00,Used Vehicle,Cash,"$3,200.00 ",0,62704,MID-SIZE SEDAN
15273,"$70,579.00 ",2019,RAM,1500 (5.7L),10/19/2019 0:00,New Vehicle,Finance,"$63,579.00 ",0,60540,TRUCK
15274,"$28,965.00 ",2017,OTHER,PACIFICA,10/19/2019 0:00,Used Vehicle,Finance,"$28,965.00 ",1,62702,VAN
15275,"$12,050.00 ",2014,OTHER,CR-V,10/19/2019 0:00,Used Vehicle,Finance,"$12,050.00 ",1,62092,COMPACT SUV
15276,"$34,990.00 ",2015,RAM,1500,10/19/2019 0:00,Used Vehicle,Finance,"$33,279.00 ",1,62650,TRUCK
15277,"$28,990.00 ",2017,SUBARU,OUTBACK,10/22/2019 0:00,Used Vehicle,Finance,"$25,797.00 ",1,62704,SUV
15278,"$11,110.00 ",2013,RAM,JOURNEY,10/22/2019 0:00,Used Vehicle,Finance,"$11,110.00 ",0,62702,SUV
15279,"$37,035.00 ",2020,SUBARU,FORESTER,10/22/2019 0:00,New Vehicle,Finance,"$35,383.00 ",1,62704,COMPACT SUV
